Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,Exclusivity Protected Indication *,Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
(2S)-2-[(2S)-4-cyclohexyl-2-{[(2S)-1-(4-fluorobenzoyl)pyrrolidin-2-yl]formamido}butanamido]-N-(1-{[(1S)-1-{[(1S)-1-({1-[(1-{[2-({1-[(dimethylamino)methyl]cyclobutyl}carbamoyl)ethyl]carbamoyl}-1-methylethyl)carbamoyl]-1-methylethyl}carbamoyl)-3-methylbutyl,,7/19/21,Treatment of cutaneous leishmaniasis (Old World and New World),Designated,Not FDA Approved for Orphan Indication,,,,,Bacoba AG,Elisabethenstrasse 15,,Basel,Basel-Stadt,4051,Switzerland,825621
"(2S)-2-{[(2R)-2-[({[3,3-dibutyl-7-(methylthio)-1,1-dioxido-5-phenyl-2,3,4,5-tetrahydro- 1,2,5-benzothiadiazepin-8-yl]oxy}acetyl)amino]-2-(4-hydroxyphenyl)acetyl]amino}butanoic acid",,10/31/12,Treatment of primary biliary cirrhosis,Designated,Not FDA Approved for Orphan Indication,,,,,Albireo AB,Arvid Wallgrens Backe 20,,Gothenburg,,,Sweden,371012
"(2S)-2-{[(2R)-2-[({[3,3-dibutyl-7-(methylthio)-1,1-dioxido-5-phenyl-2,3,4,5-tetrahydro-1,2,5-benzothiadiazepin-8-yl]oxy}acetyl)amino]-2-(4-hydroxyphenyl)acetyl]amino}butanoic acid",,10/15/18,Treatment of Alagille syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,"Albireo AB c/o Albireo Pharma, Inc.",10 Post Office Square,Suite 502 South,Boston,Massachusetts,2109,United States,370812
"(2S)-N-[(1S)-1-cyclohexyl-2-[(2S)-2-[4-(4-fluorobenzoyl)-1,3-thiazol-2-yl]pyrrolidin-1-yl]-2-oxoethyl]-2-(methylamino)propanamide",,6/28/17,Treatment of multiple myeloma,Designated,Not FDA Approved for Orphan Indication,,,,,"Paul Maher, MD",10644 Weymouth Street,Suite 104,Bethesda,Maryland,20814,United States,582917
"(2S,3R)-N-[(2S)-3-(cyclopent-1-en-1-yl)-1-[(2R)-2-methyloxiran-2-yl]-1-oxopropan-2-yl]-3-hydroxy-3-(4-methoxyphenyl)-2-[(2S)-2-[2-(morpholin-4-yl)acetamido]propanamido]propanamide maleate",,10/21/20,treatment of polymyositis,Designated,Not FDA Approved for Orphan Indication,,,,,"Kezar Life Sciences, Inc.","4000 Shoreline Court, Suite 300",,South San Francisco,California,94080,United States,663518
"(2S,3R)-N-[(2S)-3-(cyclopent-1-en-1-yl)-1-[(2R)-2-methyloxiran-2-yl]-1-oxopropan-2-yl]-3-hydroxy-3-(4-methoxyphenyl)-2-[(2S)-2-[2-(morpholin-4-yl)acetamido]propanamido]propanamide maleate",,10/22/20,treatment of dermatomyositis,Designated,Not FDA Approved for Orphan Indication,,,,,"Kezar Life Sciences, Inc.","4000 Shoreline Court, Suite 300",,South San Francisco,California,94080,United States,672018
"(2S,3R,4R,5S)-2-(hydroxymethyl)-1-pentylpiperidine-3,4,5-triol",,8/1/19,Treatment of GM2 gangliosidosis,Designated,Not FDA Approved for Orphan Indication,,,,,Idorsia Pharmaceuticals Ltd,91 Hegenheimermattweg,,Allschwil,Basel-Landschaft,,Switzerland,701719
"(2S,3S,4E,6S,7R,10R)-7,10-Dihydroxy-3,7-dimethyl-12-oxo-2-[(2E,4E,6R)-6-(pyridin-2-yl)hepta-2,4-dien-2-yl]oxacyclododec-4-en-6-yl 4-methylpiperazine-1-carboxylate",,6/21/17,Treatment of acute myeloid leukemia (AML),Designated,Not FDA Approved for Orphan Indication,,,,,Eisai Inc.,200 Metro Blvd.,,Nutley,New Jersey,07110-6102,United States,581817
"(2S,4R)-1-(2-(3-acetyl-5-(2-methylpyrimidin-5-yl)-1H-indazol-1-yl)acetyl)-N-(6-bromopyridin-2-yl)-4-fluoropyrrolidine-2-carboxamide",,12/14/17,Treatment of C3 glomerulopathy (C3G),Designated,Not FDA Approved for Orphan Indication,,,,,"Alexion Pharmaceuticals, Inc",300 George Street,,New Haven,Connecticut,6511,United States,617117
(2Z)-2-cyano-3-3hydroxy-N-[4-(trifluoromethly)phenyl]-2-hepten-6-ynamide,,1/10/05,"Prevention of acute rejection following kidney, heart, and liver transplantation",Designated,Not FDA Approved for Orphan Indication,,,,,"Astellas Pharma US, Inc.",Three Parkway North,,Deerfield,Illinois,60015,United States,187004
"(3,5-Bis trifluoromethyl)-N-[4-methyl-3-(4-pyridin-3yl-pyrimidin-2-yl amino) phenyl] benzamide",,3/18/11,Treatment of pancreatic cancer,Designated,Not FDA Approved for Orphan Indication,,,,,NATCO Pharma Limited,Natco House,,Hyderabad 500033,,,India,337011
"(3,5-Bis trifluoromethyl)-N-[4-methyl-3-(4-pyridin-3yl-pyrimidin-2-yl amino) phenyl] benzamide",,3/18/11,Treatment of chronic myelogenous leukemia.,Designated,Not FDA Approved for Orphan Indication,,,,,NATCO Pharma Limited,Natco House,,Hyderabad-500033,,,India,336911
"(3,5-Bis trifluoromethyl)-N-[4-methyl-3-(4-pyridin-3yl-pyrimidin-2-yl amino) phenyl] benzamideNRC-AN-019",,3/18/11,Treatment of Glioma,Designated,Not FDA Approved for Orphan Indication,,,,,NATCO Pharma Limited,Natco House,,Hyderabad-500033,,,India,336811
"(3E,5E)-3,5-bis[(4-fluoro-3-nitrophenyl)methylidene]-1-(prop-2-enoyl)azepan-4-0ne",,4/30/14,Treatment of multiple myeloma,Designated,Not FDA Approved for Orphan Indication,,,,,VivoLux AB,Uppsala Science Park,SE-751 83,Uppsala,,,Sweden,428714
(3R)-3-Methyl-6-[2-({5-methyl-2-[4-(trifluoromethyl)phenyl]-1H-imidazol-1-yl}methyl)phenoxy]hexanoic acid hemisulfate,,3/28/18,Treatment of Duchenne muscular dystrophy,Designated,Not FDA Approved for Orphan Indication,,,,,"Astellas Pharma Global Development, Inc.","1 Astellas Way, N4.203",,Northbrook,Illinois,60062,United States,633018
"(3R,3aS,9R,9aS,9bS)-3-((dimethylamino)methyl)-9-hydroxy-6,9-dimethyl-3,3a,4,5,7,8,9,9a-octahydroazuleno[4,5-b]furan-2(9bH)-one fumarate",,11/8/17,Treatment of glioblastoma multiforme,Designated,Not FDA Approved for Orphan Indication,,,,,Accendatech USA Incorporated,3730 Kirby Drive,Suite 1200,Houston,Texas,77098,United States,610217
"(3S)-(+)-(5-chloro-2-methoxyphenyl)-1,3-dihydro-3-fluoro-6-(trifluoromethyl)-2H-indol-2-one",,12/9/15,Treatment of Fragile X Syndrome.,Designated,Not FDA Approved for Orphan Indication,,,,,Centre National de la Recherche Scientifique (CNRS),3 Rue Michel-Ange,,Paris,,,France,497515
"(3S)-3-[(2S)-2-({N-[2-tert-butyl)phenyl]carbamoyl}carbonylamino) propanoylamino]-4-oxo-5-(2,3,5,6-tetrafluorophenoxy) pentanoci acid",,8/19/03,Treatment of patients undergoing solid organ transplantation.,Designated,Not FDA Approved for Orphan Indication,,,,,Pfizer Global Research and Development,50 Pequot Avenue,,New London,Connecticut,6320,United States,169603
"(3S)-3-[({1-(2-Chlorobenzyl)-4-hydroxy-5-methyl-2-oxo-1,2-dihydropyridin-3yl}amino)carbonyl]amino-3-(4-methylphenyl)propanoic acid monosodium salt",,4/25/16,For mobilization of hematopoietic stem cells,Designated,Not FDA Approved for Orphan Indication,,,,,"Aviara Pharmaceuticals, Inc/",3331 Green Tree Park,,Houston,Texas,77027,United States,515216
"(3S,4R)-3-ethyl-4-(3H-imidazo[1,2-a]pyrrolo[2,3-e]pyrazin-8-yl)-N-(2,2,2-trifluoroethyl)pyrrolidine-1-carboxamide hydrate",,6/15/17,Treatment of Pediatric Crohn's disease,Designated,Not FDA Approved for Orphan Indication,,,,,AbbVie,1 North Waukegan Road,,North Chicago,Illinois,60044,United States,575517
"(4R,5R)-1-[[4-[[4-[3,3-Dibutyl-7-(dimethylamino)-2,3,4,5-tetrahydro-4-hydroxy-1,1-dioxido-1-benzothiepin-5-yl]phenoxy]methyl]phenyl]methyl]-4-aza-l-azoniabicyclo[2.2.2]octane Chloride",,9/4/13,Treatment of primary biliary cirrhosis,Designated,Not FDA Approved for Orphan Indication,,,,,"Mirum Pharmaceuticals, Inc.",950 Tower Lane,Suite 1050,Foster City,California,94404,United States,406113
"(4R,5R)-1-[[4-[[4-[3,3-Dibutyl-7-(dimethylamino)-2,3,4,5-tetrahydro-4-hydroxy-1,1-dioxido-1-benzothiepin-5-yl]phenoxy]methyl]phenyl]methyl]-4-aza-l-azoniabicyclo[2.2.2]octane Chloride",,9/4/13,Treatment of primary sclerosing cholangitis,Designated,Not FDA Approved for Orphan Indication,,,,,"Mirum Pharmaceuticals, Inc.",950 Tower Lane,Suite 1050,Foster City,California,94404,United States,406213
"(4S)-4-ethyl-4-hydroxy-3,14-dioxo-3,4,12,14-tetrahydro-1-H-pyrano[3?,4?:6,7]-indolizino-[1,2-b]-quinoline-11-carbaldehyde O-(tert-butyl)-(E)-oxime",,11/29/02,Treatment malignant glioma,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Sigma-Tau Research, Inc.",9841 Washingtonian Blvd,Suite 502,Gaithersburg,Maryland,20878,United States,161602
"(5-(3-(2-amino-4-oxo-4,7-dihydro-3 H-pyrrolo[2,3- d]pyrimidin-6-yl)propyl)thiophene-2-carbonyl)- L-glutamic acid)",,3/30/21,Treatment of Mesothelioma,Designated,Not FDA Approved for Orphan Indication,,,,,"FLAG Therapeutics, Inc.",9168 Wooden Road,,Raleigh,North Carolina,27617-8203,United States,806920
"(5R)-5-(4-{[(2-fluorophenyl)methyl]oxy}phenyl)-L-prolinamide, hydrochloride",,1/30/17,Treatment of erythromelalgia,Designated,Not FDA Approved for Orphan Indication,,,,,"Biogen, Inc.",300 Binney Street,,Cambridge,Massachusetts,2142,United States,553016
"(5S,8S, 10aR)-N-benzhydryl-5-((S)-2-(methylamino)propanamido)-3-(3-methylbutanoyl)-6-oxodecahydropyrrolo[1,2-a][1,5] diazocine-8-carboxyamide",,4/14/16,Treatment of ovarian cancer,Designated,Not FDA Approved for Orphan Indication,,,,,"EMD Serono, Inc., a business of Merck Healthcare KGaA",1 Technology Pl,,Rockland,Massachusetts,2370,United States,515315
"(6-(4-((4-(1H-pyrazol-4-yl)phenyl)amino)pyrimidin-2-yl)-1-methyl-1H-indol-2-yl)(3,3-difluoroazetidin-1-yl)methanone",,5/8/19,Treatment of Idiopathic Pulmonary Fibrosis,Designated,Not FDA Approved for Orphan Indication,,,,,"Beijing Tide Pharmaceutical Co., Ltd",No.8 East Rongjing Street,Beijing Econnomic-technological Development Area (BDA),Beijing,,,China,683419
"(6-[4-Deoxy-4-[(2E,4E)-tetradecadienoylglycyl] amino-L-glyceroB-L-manno-heptopyranosyl]amino-9H-purine)",,2/21/14,"Parenteral treatment of painful, chronic, chemotherapy-induced peripheral neuropathy that is refractory to conventional analgesics",Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"DARA Therapeutics, Inc.",8601 Six Forks Road,Suite 160 (Forum 1),Raleigh,North Carolina,27615,United States,385312
"(6aR, 10aR)-3-(1,1-dimethylheptyl)-delta8-tetrahydro-cannabinol-9-carboxylic acid",,10/13/15,Treatment of cystic fibrosis.,Designated,Not FDA Approved for Orphan Indication,,,,,"Corbus Pharmaceuticals, Inc.",500 River Ridge Drive,Second floor,Norwood,Massachusetts,2062,United States,493415
"(6aR, 10aR)-3-(1⿿,1⿿-dimethylheptyl)-ο8-tetrahydro-cannabinol-9-carboxylic acid",,6/10/15,Treatment of systemic sclerosis,Designated,Not FDA Approved for Orphan Indication,,,,,"Corbus Pharmaceuticals, Inc.",500 River Ridge Drive,Second Floor,Norwood,Massachusetts,2062,United States,480715
"(6R,S)5,10-methylene-tetrahydrofolic acid",,8/13/04,For use in combination with 5-fluorouracil for the treatment of patients with pancreatic cancer,Designated,Not FDA Approved for Orphan Indication,,,,,"Adventrx Pharmaceuticals, Inc.",6725 Mesa Ridge Road,Suite 100,San Diego,California,92121,United States,189304
"(7S)-3-Amino-14-ethyl-11-fluoro-7-methyl-4-oxo-4,5,6,7,13,14-hexahydro-1,15-ethenopyrazolo[4,3-f][1,4,8,10]benzoxatriazacyclotridecine-12-carbonitrile",,5/25/21,"Treatment of gastric cancer, including gastroesophageal junction adenocarcinoma",Designated,Not FDA Approved for Orphan Indication,,,,,"Turning Point Therapeutics, Inc.",10628 Science Center Drive,Suite 200,San Diego,California,92121,United States,817821
"(7S,13R)-11-fluoro-7,13-dimethyl-6,7,13,14-tetrahydro-1,15-ethenopyrazolo[4,3-f][1,4,8,10]benzoxatriazacyclotridecin-4(5H)-one",,6/22/17,Treatment of non-small cell lung adenocarcinomas with adenocarcinoma histology,Designated,Not FDA Approved for Orphan Indication,,,,,"TP Therapeutics, Inc.",10628 Science Center Drive,Suite 225,San Diego,California,92121,United States,573517
"(9-[N-(3-morpholinopropyl)-sulfonyl]-5,6-dihydro-5-oxo-11-H-indeno [1,2-c] isoquinoline methanesulfonic acid",,12/8/04,Prevention of post-operative complications of aortic anuerysm surgical repair,Designated,Not FDA Approved for Orphan Indication,,,,,Inotek Pharmaceuticals Corporation,100 Cummings Center,,Beverly,Massachusetts,1915,United States,195404
(E)-3-(6-Bromo-pyridin-2-yl)-2-cyano-N-((S)-1-phenyl-ethyl)-acryl amide,,2/1/19,Treatment of glioblastoma,Designated,Not FDA Approved for Orphan Indication,,,,,"Moleculin Biotech, Inc.","5300 Memorial Drive,",Suite 950,Houston,Texas,77007,United States,671018
(E)-N1-(3-(dimethylamino)propyl)-N8-hydroxy-2-((naphthalen-1-yloxy)methyl)oct-2-enediamide phosphate,,8/26/19,Treatment of Pancreatic cancer,Designated,Not FDA Approved for Orphan Indication,,,,,"CrystalGenomics, Inc.","5th F. Bldg.A, Korea Bio Park","700 Daewangpangyoro, Bundanggu, Seongnamsi",Gyeonggido,,,South Korea,699019
(E)-N-(1-(5-Chloro-2-hydroxy phenyl)Ethylidene)-3-((4-Methyl Piperazin-1-yl) Sulfonyl) Benzohydrazide Mesylate,,1/12/17,Treatment of Ewing's sarcoma.,Designated,Not FDA Approved for Orphan Indication,,,,,Salarius Pharmaceuticals,2450 Holcombe Boulevard,Suite J-608,Houston,Texas,77021,United States,571316
"(E, Z)-4,5,9-trithiadodeca-1, 6, 11-triene 9-oxide (Ajoene)",,4/21/16,Treatment of Pseudomonas aeruginosa pulmonary infections in cystic fibrosis patients,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Neem Biotech Ltd.,Units G & H,Roseheyworth Business Park,Blaenau Gwent,,,United Kingdom,516316
"(N-{2-[(6-{[(2,6-Dichloro-3,5-dimethoxyphenyl)carbamoyl](methyl)amino}pyrimidin-4- yl)amino]-5-(4-ethylpiperazin-1-yl)phenyl}prop-2-enamide)",,9/7/17,Treatment of hepatocellular carcinoma (HCC),Designated,Not FDA Approved for Orphan Indication,,,,,Eisai Inc.,200 Metro Blvd.,,Nutley,New Jersey,07110-6102,United States,597717
"(P)-3-chloro-4-((3,5-difluoropyridin-2-yl)methoxy)-2'-(2-(2-hydroxypropan-2-yl)pyrimidin-4yl)-5',6-dimethyl-2H-[1,4'-bipyridin]-2-one",,1/21/21,Treatment of cryopyrin-associated periodic syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,Aclaris Theapeutics Inc.,"640 Lee Road, Suite 200",,Wayne,Pennsylvania,19087,United States,795720
"(R)-(1-(4-fluorophenyl)-6-((4-(trifluoromethyl)phenyl)sulfonyl)-1,4,5,6,7,8-hexahydro-4aH-pyrazolo[3,4-g]isoquinolin-4a-yl)(pyridin-2-yl)methanone",,8/18/20,Treatment of amyotrophic lateral sclerosis,Designated,Not FDA Approved for Orphan Indication,,,,,"Corcept Therapeutics, Inc.",149 Commonwealth Drive,,Menlo Park,California,94025,United States,756420
(R)-1-phenylethyl-5-(4-biphenyl-4-cyclopropanecarboxylic acid)-3-methylisoxazole-4-yl carbamate sodium salt,,4/15/11,Treatment of idiopathic pulmonary fibrosis,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Company,P. O. Box 4000,,Princeton,New Jersey,8543,United States,327810
"(R)-2-((1-(2-(4-methoxy-3-(2-morpholinoethoxy) phenyl)-5-methylthiazol-4-yl)ethyl)thio)pyrimidine-4,6-diamine",,11/9/21,Treatment of Optic Neuritis,Designated,Not FDA Approved for Orphan Indication,,,,,Trethera Corporation,"13547 Ventura Boulevard, Suite 363",,Sherman Oaks,California,91423,United States,845721
"(R)-2-((1-(2-(4-methoxy-3-(2-morpholinoethoxy) phenyl)-5-methylthiazol-4-yl)ethyl)thio)pyrimidine-4,6-diamine",,1/7/21,Treatment of acute disseminated encephalomyelitis,Designated,Not FDA Approved for Orphan Indication,,,,,Trethera Corporation,"13547 Ventura Boulevard, Suite 363",,Sherman Oaks,California,91423,United States,792220
"(R)-2-(5-cyano-2-(6-(methoxycarbonyl)-7-methyl-3-oxo-8-(3-(trifluoromethyl)phenyl)-2,3,5,8-tetrahydro-[1,2,4]triazolo[4,3-a]pyrimidin-5-yl)phenyl)-N,N,N-trimethylethanaminium methanesulfonate dehydrate",,1/25/17,Treatment of cystic fibrosis,Designated,Not FDA Approved for Orphan Indication,,,,,Chiesi Farmaceutici S.p.A.,26A Via Palermo,,Parma,Emilia-Romagna,,Italy,551216
"(R)-2-allyl-1-(7-ethyl-7-hydroxy-6,7-dihydro-5H-cyclopenta[b]pyridin-2-yl)-6-((4-(4-methylpiperazin-1-yl)phenyl)amino)-1,2-dihydro-3H-pyrazolo[3,4-d]pyrimidin-3-one",,10/14/20,Treatment of osteosarcoma,Designated,Not FDA Approved for Orphan Indication,,,,,"K-Group Beta, Inc.","10835 Road to the Cure, Suite #205",,San Diego,California,92121,United States,772420
"(R)-2-hydroxy-2-methyl-4-(2,4,5-trimethyl-3,6-dioxocyclohexa-1,4-dien-1-yl) butanamide",,7/27/17,Treatment of amyotrophic lateral sclerosis,Designated,Not FDA Approved for Orphan Indication,,,,,"PTC Therapeutics, Inc.",100 Corporate Court,,South Plainfield,New Jersey,7080,United States,592517
"(R)-2-methyl-6-nitro-2-{4-[4-(4-trifluoromethoxyphenoxy)piperidin-1-yl]phenoxymethyl}-2,3-dihydroimidazo[2,1-b]oxazole",,7/12/07,Treatment of pulmonary tuberculosis.,Designated,Not FDA Approved for Orphan Indication,,,,,"Otsuka Pharmaceutical Company, Ltd","2-9, Kanda-Tsukasamachi",,Tokyo,,,Japan,244007
(R)-3-[(4-{1-[1-(3-Carboxy-1-cyclopropyl-7-fluoro-9-methyl-4-oxo-4H-quinolizine-8-yl)-pyrrolidin-3-yl-cyclopropyl]-methylamino}-piperidin-1-ylimino)-methylenyl]-rifamycin,,1/14/20,Treatment of prosthetic joint infection,Designated,Not FDA Approved for Orphan Indication,,,,,TenNor Therapeutics Limited,"218 Xinghu Street, Building B2, Suite 711",Suzhou Industrial Park,Suzhou,,,China,704419
"(R)-3-[3-Fluoro-4-(1-methyl-1,4,5,6-tetrahydro-1,2,4-triazin-4-yl)phenyl]-5(R)-(hydroxymethyl)oxazolidin-2-one",,7/19/17,Treatment of tuberculosis,Designated,Not FDA Approved for Orphan Indication,,,,,"LegoChem Biosciences, Inc.",8-26 Munpyeongseo-ro,,Daejeon,Daedeok-gu,,South Korea,590317
"(R)-4-(3-morpholin-4-yl-1-phenylsulfanylmethyl-propylamino)-N-(4-{4-[2-(4-chlorophenyl)-5,5-dimethylcyclohex-1-enylmethyl]-piperazin-1-yl}-benzoyl)-3-trifluoromethanesulfonylbenzenesulfonamide bis-hydrochloride",,5/5/08,Treatment of multiple myeloma,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"AbbVie, Inc.",1 N. Waukegan Road,,North Chicago,Illinois,60064,United States,257408
"(R)-4-(3-morpholin-4-yl-l-phenylsulfanylmenthyl-propylamino)-N-(4-{4-[2-(4-chlorophenyl)-5,5-dimethylcyclohex-l-enylmethyl]-piperazin-l-yl}-benzoyl)-3-trifluoromethanesulfonylbenzenesulfonamide bis-hydrochloride",,12/19/07,Treatment of chronic lymphocytic leukemia,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"AbbVie, Inc.",1 N. Waukegan Road,,North Chicago,Illinois,60064,United States,249107
"(R)-6-((3,3-difluoro-1-methylpiperidine-4-yl)oxy-N-(3-ethynyl-2-fluorophenyl)-7-methoxyquinazolin-4-amine-,fumerate (2:1) (salt)",,7/24/19,Treatment of glioma (including glioblastoma and anaplastic astrocytoma),Designated,Not FDA Approved for Orphan Indication,,,,,Wayshine Biopharm Inc.,"957 Ferndale Dr,",,Corona,California,92881,United States,695019
"(R)-6-(2-fluorophenyl)-N-(3-(2-((2-methoxyethyl)amino)ethyl)phenyl)-5,6-dihydrobenzo[h]quinazolin-2-amine dihydrochloride",,11/19/15,Treatment of cholangiocarcinoma.,Designated,Not FDA Approved for Orphan Indication,,,,,Basilea Pharmaceutical International Ltd.,Grenzacherstrasse 487,P.O. Box,Basel,,,Switzerland,497615
"(R)-6-(2-hydroxy-3-(4-(4-(trifluoromethyl)phenyl)piperazin- 1-yl)propoxy)-3,4-dihydroquinolin-2(1H)-one",,11/17/20,treatment of subarachnoid hemorrhage,Designated,Not FDA Approved for Orphan Indication,,,,,NeurOp Inc.,58 Edgewood Ave,,Atlanta,Georgia,30303,United States,781020
(R)-Azasetron besylate,,8/16/17,Prevention of platinum-induced ototoxicity in pediatric patients,Designated,Not FDA Approved for Orphan Indication,,,,,Sensorion SA,375 Rue du Professeur Joseph Blayac,,Montpellier,Languedoc-Roussillon,,France,593417
"(R)-N-(1-(1-(1H-indazol-5-yl)-3-methyl-2,4-dioxo-1,3,8-triazaspiro[4,5]decan-8-yl)-3-methyl-1-oxobutan-2-yl)-2-fluoro-5-(trifluoromethyl)benzamide",,7/18/19,Treatment of idiopathic pulmonary fibrosis,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"X-Rx, Inc.",100 Beaver Street,,Waltham,Massachusetts,2453,United States,693119
(R)-N-(3-(2-((3-methoxy-1-methyl-1H-pyrazol-4-yl)amino)pyrimidin-4-yl)-1H-indol-7-yl)-2-(4-methylpiperazin-1-yl)propenamide hemi ethyl acetate solvate,,9/10/20,Treatment of T-cell lymphoma,Designated,Not FDA Approved for Orphan Indication,,,,,"Dizal (Jiangsu) Pharmaceutical Co., Ltd.",199 Liangjing Road,Zhangjiang High-Tec Park,Shanghai,,,China,763220
